date,county,daily_cases
2020-04-21,Cumberland,0
2020-04-22,Cumberland,0
2020-04-23,Cumberland,0
2020-04-24,Cumberland,1
2020-04-25,Cumberland,0
2020-04-26,Cumberland,0
2020-04-27,Cumberland,0
2020-04-28,Cumberland,0
2020-04-29,Cumberland,0
2020-04-30,Cumberland,0
2020-05-01,Cumberland,0
2020-05-02,Cumberland,0
2020-05-03,Cumberland,1
2020-05-04,Cumberland,0
2020-05-05,Cumberland,0
2020-05-06,Cumberland,0
2020-05-07,Cumberland,0
2020-05-08,Cumberland,0
2020-05-09,Cumberland,0
2020-05-10,Cumberland,0
2020-05-11,Cumberland,2
2020-05-12,Cumberland,1
2020-05-13,Cumberland,1
2020-05-14,Cumberland,0
2020-05-15,Cumberland,0
2020-05-16,Cumberland,0
2020-05-17,Cumberland,1
2020-05-18,Cumberland,0
2020-05-19,Cumberland,1
2020-05-20,Cumberland,0
2020-05-21,Cumberland,0
2020-05-22,Cumberland,0
2020-05-23,Cumberland,0
2020-05-24,Cumberland,0
2020-05-25,Cumberland,0
2020-03-16,DuPage,21
2020-03-17,DuPage,19
2020-03-18,DuPage,9
2020-03-19,DuPage,3
2020-03-20,DuPage,11
2020-03-21,DuPage,11
2020-03-22,DuPage,16
2020-03-23,DuPage,8
2020-03-24,DuPage,28
2020-03-25,DuPage,51
2020-03-26,DuPage,17
2020-03-27,DuPage,3
2020-03-28,DuPage,72
2020-03-29,DuPage,46
2020-03-30,DuPage,36
2020-03-31,DuPage,36
2020-04-01,DuPage,56
2020-04-02,DuPage,52
2020-04-03,DuPage,90
2020-04-04,DuPage,66
2020-04-05,DuPage,59
2020-04-06,DuPage,80
2020-04-07,DuPage,80
2020-04-08,DuPage,68
2020-04-09,DuPage,65
2020-04-10,DuPage,40
2020-04-11,DuPage,114
2020-04-12,DuPage,61
2020-04-13,DuPage,89
2020-04-14,DuPage,74
2020-04-15,DuPage,77
2020-04-16,DuPage,97
2020-04-17,DuPage,82
2020-04-18,DuPage,53
2020-04-19,DuPage,66
2020-04-20,DuPage,103
2020-04-21,DuPage,83
2020-04-22,DuPage,100
2020-04-23,DuPage,172
2020-04-24,DuPage,92
2020-04-25,DuPage,132
2020-04-26,DuPage,185
2020-04-27,DuPage,108
2020-04-28,DuPage,134
2020-04-29,DuPage,211
2020-04-30,DuPage,175
2020-05-01,DuPage,176
2020-05-02,DuPage,179
2020-05-03,DuPage,192
2020-05-04,DuPage,115
2020-05-05,DuPage,138
2020-05-06,DuPage,157
2020-05-07,DuPage,161
2020-05-08,DuPage,119
2020-05-09,DuPage,110
2020-05-10,DuPage,142
2020-05-11,DuPage,376
2020-05-12,DuPage,123
2020-05-13,DuPage,209
2020-05-14,DuPage,181
2020-05-15,DuPage,146
2020-05-16,DuPage,124
2020-05-17,DuPage,172
2020-05-18,DuPage,95
2020-05-19,DuPage,137
2020-05-20,DuPage,163
2020-05-21,DuPage,273
2020-05-22,DuPage,147
2020-05-23,DuPage,172
2020-05-24,DuPage,144
2020-05-25,DuPage,98
2020-03-16,Sangamon,0
2020-03-17,Sangamon,1
2020-03-18,Sangamon,0
2020-03-19,Sangamon,0
2020-03-20,Sangamon,0
2020-03-21,Sangamon,0
2020-03-22,Sangamon,0
2020-03-23,Sangamon,1
2020-03-24,Sangamon,0
2020-03-25,Sangamon,2
2020-03-26,Sangamon,0
2020-03-27,Sangamon,1
2020-03-28,Sangamon,1
2020-03-29,Sangamon,7
2020-03-30,Sangamon,0
2020-03-31,Sangamon,1
2020-04-01,Sangamon,6
2020-04-02,Sangamon,0
2020-04-03,Sangamon,8
2020-04-04,Sangamon,2
2020-04-05,Sangamon,2
2020-04-06,Sangamon,-3
2020-04-07,Sangamon,1
2020-04-08,Sangamon,6
2020-04-09,Sangamon,3
2020-04-10,Sangamon,1
2020-04-11,Sangamon,0
2020-04-12,Sangamon,5
2020-04-13,Sangamon,2
2020-04-14,Sangamon,0
2020-04-15,Sangamon,4
2020-04-16,Sangamon,4
2020-04-17,Sangamon,3
2020-04-18,Sangamon,1
2020-04-19,Sangamon,2
2020-04-20,Sangamon,4
2020-04-21,Sangamon,1
2020-04-22,Sangamon,7
2020-04-23,Sangamon,5
2020-04-24,Sangamon,14
2020-04-25,Sangamon,9
2020-04-26,Sangamon,9
2020-04-27,Sangamon,46
2020-04-28,Sangamon,10
2020-04-29,Sangamon,9
2020-04-30,Sangamon,17
2020-05-01,Sangamon,12
2020-05-02,Sangamon,1
2020-05-03,Sangamon,4
2020-05-04,Sangamon,4
2020-05-05,Sangamon,15
2020-05-06,Sangamon,6
2020-05-07,Sangamon,16
2020-05-08,Sangamon,3
2020-05-09,Sangamon,2
2020-05-10,Sangamon,17
2020-05-11,Sangamon,11
2020-05-12,Sangamon,6
2020-05-13,Sangamon,0
2020-05-14,Sangamon,8
2020-05-15,Sangamon,14
2020-05-16,Sangamon,4
2020-05-17,Sangamon,1
2020-05-18,Sangamon,4
2020-05-19,Sangamon,0
2020-05-20,Sangamon,1
2020-05-21,Sangamon,10
2020-05-22,Sangamon,1
2020-05-23,Sangamon,1
2020-05-24,Sangamon,0
2020-05-25,Sangamon,2
2020-03-16,St. Clair,0
2020-03-17,St. Clair,1
2020-03-18,St. Clair,0
2020-03-19,St. Clair,0
2020-03-20,St. Clair,0
2020-03-21,St. Clair,0
2020-03-22,St. Clair,1
2020-03-23,St. Clair,3
2020-03-24,St. Clair,0
2020-03-25,St. Clair,6
2020-03-26,St. Clair,2
2020-03-27,St. Clair,3
2020-03-28,St. Clair,13
2020-03-29,St. Clair,5
2020-03-30,St. Clair,7
2020-03-31,St. Clair,10
2020-04-01,St. Clair,2
2020-04-02,St. Clair,2
2020-04-03,St. Clair,23
2020-04-04,St. Clair,6
2020-04-05,St. Clair,6
2020-04-06,St. Clair,17
2020-04-07,St. Clair,18
2020-04-08,St. Clair,17
2020-04-09,St. Clair,15
2020-04-10,St. Clair,14
2020-04-11,St. Clair,16
2020-04-12,St. Clair,13
2020-04-13,St. Clair,18
2020-04-14,St. Clair,5
2020-04-15,St. Clair,14
2020-04-16,St. Clair,15
2020-04-17,St. Clair,11
2020-04-18,St. Clair,6
2020-04-19,St. Clair,5
2020-04-20,St. Clair,13
2020-04-21,St. Clair,27
2020-04-22,St. Clair,14
2020-04-23,St. Clair,20
2020-04-24,St. Clair,13
2020-04-25,St. Clair,28
2020-04-26,St. Clair,12
2020-04-27,St. Clair,31
2020-04-28,St. Clair,8
2020-04-29,St. Clair,33
2020-04-30,St. Clair,17
2020-05-01,St. Clair,15
2020-05-02,St. Clair,30
2020-05-03,St. Clair,14
2020-05-04,St. Clair,28
2020-05-05,St. Clair,22
2020-05-06,St. Clair,22
2020-05-07,St. Clair,25
2020-05-08,St. Clair,41
2020-05-09,St. Clair,22
2020-05-10,St. Clair,50
2020-05-11,St. Clair,10
2020-05-12,St. Clair,17
2020-05-13,St. Clair,0
2020-05-14,St. Clair,17
2020-05-15,St. Clair,45
2020-05-16,St. Clair,25
2020-05-17,St. Clair,18
2020-05-18,St. Clair,12
