date,county,daily_cases
2020-06-10,Jackson,24
2020-06-11,Jackson,25
2020-06-12,Jackson,26
2020-06-13,Jackson,27
2020-06-14,Jackson,28
2020-06-15,Jackson,29
2020-06-16,Jackson,30
2020-06-17,Jackson,31
2020-06-18,Jackson,32
2020-06-19,Jackson,33
2020-06-20,Jackson,34
2020-06-21,Jackson,35
2020-06-22,Jackson,37
2020-06-23,Jackson,38
2020-06-24,Jackson,39
2020-06-25,Jackson,40
2020-06-26,Jackson,42
2020-06-27,Jackson,43
2020-06-28,Jackson,44
2020-06-29,Jackson,46
2020-06-30,Jackson,47
2020-07-01,Jackson,49
2020-07-02,Jackson,50
2020-07-03,Jackson,52
2020-07-04,Jackson,53
2020-07-05,Jackson,55
2020-07-06,Jackson,56
2020-07-07,Jackson,58
2020-07-08,Jackson,60
2020-07-09,Jackson,61
2020-07-10,Jackson,63
2020-07-11,Jackson,65
2020-07-12,Jackson,66
2020-05-24,Kankakee,48
2020-05-25,Kankakee,49
2020-05-26,Kankakee,51
2020-05-27,Kankakee,52
2020-05-28,Kankakee,53
2020-05-29,Kankakee,55
2020-05-30,Kankakee,56
2020-05-31,Kankakee,58
2020-06-01,Kankakee,59
2020-06-02,Kankakee,60
2020-06-03,Kankakee,62
2020-06-04,Kankakee,63
2020-06-05,Kankakee,64
2020-06-06,Kankakee,66
2020-06-07,Kankakee,67
2020-06-08,Kankakee,69
2020-06-09,Kankakee,70
2020-06-10,Kankakee,71
2020-06-11,Kankakee,73
2020-06-12,Kankakee,74
2020-06-13,Kankakee,75
2020-06-14,Kankakee,76
2020-06-15,Kankakee,78
2020-06-16,Kankakee,79
2020-06-17,Kankakee,80
2020-06-18,Kankakee,81
2020-06-19,Kankakee,83
2020-06-20,Kankakee,84
2020-06-21,Kankakee,85
2020-06-22,Kankakee,86
2020-06-23,Kankakee,87
2020-06-24,Kankakee,88
2020-06-25,Kankakee,89
2020-06-26,Kankakee,91
2020-06-27,Kankakee,92
2020-06-28,Kankakee,93
2020-06-29,Kankakee,94
2020-06-30,Kankakee,94
2020-07-01,Kankakee,95
2020-07-02,Kankakee,96
2020-07-03,Kankakee,97
2020-07-04,Kankakee,98
2020-07-05,Kankakee,99
2020-07-06,Kankakee,100
2020-07-07,Kankakee,100
2020-07-08,Kankakee,101
2020-07-09,Kankakee,102
2020-07-10,Kankakee,103
2020-07-11,Kankakee,103
2020-07-12,Kankakee,104
2020-05-24,Kendall,37
2020-05-25,Kendall,39
2020-05-26,Kendall,40
2020-05-27,Kendall,42
2020-05-28,Kendall,43
2020-05-29,Kendall,45
2020-05-30,Kendall,47
2020-05-31,Kendall,49
2020-06-01,Kendall,51
2020-06-02,Kendall,53
2020-06-03,Kendall,55
2020-06-04,Kendall,57
2020-06-05,Kendall,59
2020-06-06,Kendall,61
2020-06-07,Kendall,63
2020-06-08,Kendall,65
2020-06-09,Kendall,68
2020-06-10,Kendall,70
2020-06-11,Kendall,72
2020-06-12,Kendall,75
2020-06-13,Kendall,77
2020-06-14,Kendall,80
2020-06-15,Kendall,83
2020-06-16,Kendall,85
2020-06-17,Kendall,88
2020-06-18,Kendall,91
2020-06-19,Kendall,94
2020-06-20,Kendall,97
2020-06-21,Kendall,100
2020-06-22,Kendall,103
2020-06-23,Kendall,106
2020-06-24,Kendall,109
2020-06-25,Kendall,113
2020-06-26,Kendall,116
2020-06-27,Kendall,119
2020-06-28,Kendall,123
2020-06-29,Kendall,126
2020-06-30,Kendall,130
2020-07-01,Kendall,134
2020-07-02,Kendall,137
2020-07-03,Kendall,141
2020-07-04,Kendall,145
2020-07-05,Kendall,149
2020-07-06,Kendall,153
2020-07-07,Kendall,157
2020-07-08,Kendall,161
2020-07-09,Kendall,165
2020-07-10,Kendall,169
2020-07-11,Kendall,173
2020-07-12,Kendall,178
2020-05-24,LaSalle,6
2020-05-25,LaSalle,6
2020-05-26,LaSalle,6
2020-05-27,LaSalle,6
2020-05-28,LaSalle,6
2020-05-29,LaSalle,7
2020-05-30,LaSalle,7
2020-05-31,LaSalle,7
2020-06-01,LaSalle,7
2020-06-02,LaSalle,8
2020-06-03,LaSalle,8
2020-06-04,LaSalle,8
2020-06-05,LaSalle,8
2020-06-06,LaSalle,9
2020-06-07,LaSalle,9
2020-06-08,LaSalle,9
2020-06-09,LaSalle,9
2020-06-10,LaSalle,10
2020-06-11,LaSalle,10
2020-06-12,LaSalle,10
2020-06-13,LaSalle,10
2020-06-14,LaSalle,11
2020-06-15,LaSalle,11
2020-06-16,LaSalle,11
2020-06-17,LaSalle,12
2020-06-18,LaSalle,12
2020-06-19,LaSalle,12
2020-06-20,LaSalle,13
2020-06-21,LaSalle,13
2020-06-22,LaSalle,13
2020-06-23,LaSalle,14
2020-06-24,LaSalle,14
2020-06-25,LaSalle,14
2020-06-26,LaSalle,14
2020-06-27,LaSalle,15
2020-06-28,LaSalle,15
2020-06-29,LaSalle,16
2020-06-30,LaSalle,16
2020-07-01,LaSalle,16
2020-07-02,LaSalle,17
2020-07-03,LaSalle,17
2020-07-04,LaSalle,17
2020-07-05,LaSalle,18
2020-07-06,LaSalle,18
2020-07-07,LaSalle,18
2020-07-08,LaSalle,19
2020-07-09,LaSalle,19
2020-07-10,LaSalle,19
2020-07-11,LaSalle,20
2020-07-12,LaSalle,20
2020-05-24,Madison,21
2020-05-25,Madison,22
2020-05-26,Madison,22
2020-05-27,Madison,23
2020-05-28,Madison,23
2020-05-29,Madison,24
2020-05-30,Madison,25
2020-05-31,Madison,25
2020-06-01,Madison,26
2020-06-02,Madison,26
2020-06-03,Madison,27
2020-06-04,Madison,27
2020-06-05,Madison,28
2020-06-06,Madison,28
2020-06-07,Madison,29
2020-06-08,Madison,29
2020-06-09,Madison,30
2020-06-10,Madison,30
2020-06-11,Madison,31
2020-06-12,Madison,31
2020-06-13,Madison,32
2020-06-14,Madison,32
2020-06-15,Madison,33
2020-06-16,Madison,33
2020-06-17,Madison,34
2020-06-18,Madison,34
2020-06-19,Madison,35
2020-06-20,Madison,35
2020-06-21,Madison,36
2020-06-22,Madison,36
2020-06-23,Madison,37
2020-06-24,Madison,37
2020-06-25,Madison,37
2020-06-26,Madison,38
2020-06-27,Madison,38
2020-06-28,Madison,39
2020-06-29,Madison,39
2020-06-30,Madison,39
2020-07-01,Madison,40
2020-07-02,Madison,40
2020-07-03,Madison,40
2020-07-04,Madison,41
2020-07-05,Madison,41
2020-07-06,Madison,41
2020-07-07,Madison,41
2020-07-08,Madison,42
2020-07-09,Madison,42
2020-07-10,Madison,42
2020-07-11,Madison,42
2020-07-12,Madison,43
2020-05-24,Washington,1
2020-05-25,Washington,1
2020-05-26,Washington,1
2020-05-27,Washington,1
2020-05-28,Washington,1
2020-05-29,Washington,1
2020-05-30,Washington,1
2020-05-31,Washington,1
